country,year,sex,list,agf,cause,total,d0,d1,d5,d10,d15,d20,d25,d30,d35,d40,d45,d50,d55,d60,d65,d70,d75,d80,d85p,d85,d90p,d90,d95p,d95,d100p
LTU,1957,1,interm,1,8,98.97,46.38,26.04,10.9,2.81,2.03,2.39,1.42,1.58,1.32,0.32,0.49,0.34,0.34,0.58,0.56,0.52,0.38,0.31,0.27,.,.,.,.,.,.
LTU,1957,1,interm,1,9,17.08,1.06,1.24,1.72,0.31,0.16,0.28,0.14,2.5,1.99,0.96,1.48,1.75,1.76,0.34,0.33,0.31,0.3,0.25,0.21,.,.,.,.,.,.
LTU,1957,1,interm,1,10,19.43,0,0,0,0,0,0,0.14,0.08,0.06,0.28,0.43,1.76,1.77,2.92,2.84,2.64,2.57,2.12,1.79,.,.,.,.,.,.
LTU,1957,1,interm,1,11,7.51,0,0,0,0,0,0,0,0.29,0.25,0.22,0.33,0.88,0.88,0.92,0.89,0.83,0.81,0.67,0.56,.,.,.,.,.,.
LTU,1957,1,interm,1,12,647.14,0,0,0,0,0,0.5,8.05,7.85,6.58,18.33,28.22,82.98,83.47,80.67,78.38,72.98,71.06,58.57,49.47,.,.,.,.,.,.
LTU,1957,1,interm,1,13,31.24,0,0,0,0,0,0,0.18,0.1,0.1,0.43,0.66,2.69,2.71,4.78,4.65,4.33,4.21,3.47,2.93,.,.,.,.,.,.
LTU,1957,1,interm,1,14,33.91,0,0,0,0,0,0,0,0,0,2.41,3.71,3.74,3.76,3.98,3.87,3.6,3.51,2.89,2.44,.,.,.,.,.,.
LTU,1957,1,interm,1,15,23.74,0,0,0.26,0.25,0.16,0,0.11,0.06,0.05,0.21,0.33,1.33,1.34,3.85,3.74,3.49,3.39,2.8,2.36,.,.,.,.,.,.
LTU,1957,1,interm,1,16,62.84,0,0,0.62,0.59,0.39,0,0.25,0.14,0.11,0.5,0.77,3.14,3.16,10.43,10.14,9.44,9.19,7.57,6.4,.,.,.,.,.,.
LTU,1957,1,interm,1,17,25.26,0,0,0.26,0.25,0.16,0,0.16,0.09,0.06,0.26,0.4,1.64,1.64,3.99,3.88,3.61,3.52,2.9,2.45,.,.,.,.,.,.
LTU,1957,1,interm,1,18,47.74,0,0,0,0,0,0,0,0.99,0.83,1.46,2.25,6.94,6.98,5.55,5.39,5.02,4.89,4.03,3.4,.,.,.,.,.,.
LTU,1957,1,interm,1,19,264.49,0,0,0,0,0,0,1.07,0.18,0.15,9.29,14.31,41.08,41.33,30.8,29.93,27.87,27.13,22.41,18.94,.,.,.,.,.,.
LTU,1957,1,interm,1,20,8.71,0,0.07,0.05,0.07,0.05,0.1,0.07,0.05,0.04,0.01,0.02,1.31,1.32,1.09,1.06,0.99,0.96,0.79,0.67,.,.,.,.,.,.
